"Product Name","OrgPrice","Price","Rating"
"Redmi Note 9 Shadow Black  4GB RAM  64GB Storag",14999,12299,"4.3"
"(Renewed) Redmi Note 9 (Aqua Green  4GB RAM  64GB Storage) ",21999,10290,"3.3"
"Redmi Note 9 (Aqua Green  4GB RAM  64GB Storage) ",14999,10499,"4.3"
"(Renewed) Redmi Note 9 (Pebble Grey  4GB RAM 64GB Storage) ",16499,12999,"3.3"
"Redmi Note 9 (Pebble Grey  4GB RAM 64GB Storage) ",13999,9489,"4.2"
"Redmi Note 9 (Pebble Grey  6GB RAM 128GB Storage) ",15999,10299,"4.3"
"Redmi Note 9 (Arctic White  4GB RAM  64GB Storage) ",21999,10299,"4.3"
"Redmi Note 9 (Pebble Grey  4GB RAM 128GB Storage) ",16499,15990,"4.3"
"(Renewed) Redmi Note 9 (Arctic White  4GB RAM  64GB Storage) ",18999,16789,"3.3"
